Condition ;ID;Time;Masslarva;MassPS;MLarveIni;MPSIni
PST1;1;0;0;0;8.83;32.37
PST1;2;0;0;0;10.18;38.25
PST1;3;0;0;0;16.67;32.57
PST1;4;0;0;0;14.1;39.23
PST1;5;0;0;0;11.38;42.23
PST1;6;0;0;0;6.34;29.12
PST1;7;0;0;0;9.97;32.52
PST1;8;0;0;0;12.68;36.62
PST1;9;0;0;0;10.71;34.57
PST1;10;0;0;0;14.74;31.08
PST2;11;0;0;0;18.8;27.75
PST2;12;0;0;0;14.65;27.46
PST2;13;0;0;0;10.88;32.04
PST2;14;0;0;0;12.14;26.37
PST2;15;0;0;0;12.23;27.91
PST2;16;0;0;0;7.87;32.71
PST2;17;0;0;0;9.31;33.6
PST2;18;0;0;0;7.07;39.79
PST2;19;0;0;0;8.58;32.37
PST2;20;0;0;0;9.53;33.89
PST3;21;0;0;0;9.83;34.19
PST3;22;0;0;0;13.78;31.53
PST3;23;0;0;0;9.88;35.83
PST3;24;0;0;0;5.61;34.48
PST3;25;0;0;0;7.68;36.19
PST3;26;0;0;0;5.24;31.54
PST3;27;0;0;0;12.13;35.49
PST3;28;0;0;0;13.01;36.89
PST3;29;0;0;0;10.67;41.45
PST3;30;0;0;0;11.63;34.57
PST4;31;0;0;0;13.19;30.66
PST4;32;0;0;0;10.09;28.83
PST4;33;0;0;0;8.11;34.03
PST4;34;0;0;0;13.71;35.03
PST4;35;0;0;0;11.44;30.68
PST4;36;0;0;0;7.18;28.43
PST4;37;0;0;0;19.01;32.05
PST4;38;0;0;0;13.77;32.7
PST4;39;0;0;0;6.57;32.13
PST4;40;0;0;0;6.72;34.3
PST1+C;41;0;0;0;14.05;30.86
PST1+C;42;0;0;0;13.44;34.17
PST1+C;43;0;0;0;12.71;35.73
PST1+C;44;0;0;0;9.36;31.58
PST1+C;45;0;0;0;12.63;41.68
PST1+C;46;0;0;0;11.3;34.8
PST1+C;47;0;0;0;10.3;36.19
PST1+C;48;0;0;0;14.31;34.48
PST1+C;49;0;0;0;14.54;32.33
PST1+C;50;0;0;0;11.52;32.18
PST2+C;51;0;0;0;12.68;33.19
PST2+C;52;0;0;0;9.4;31.95
PST2+C;53;0;0;0;17.29;37.48
