Condition;ID;Time;Survivors
PST1;1;0;10
PST1;2;0;10
PST1;3;0;10
PST1;4;0;10
PST1;5;0;10
PST1;6;0;10
PST1;7;0;10
PST1;8;0;10
PST1;9;0;10
PST1;10;0;10
PST2;11;0;10
PST2;12;0;10
PST2;13;0;10
PST2;14;0;10
PST2;15;0;10
PST2;16;0;10
PST2;17;0;10
PST2;18;0;10
PST2;19;0;10
PST2;20;0;10
PST3;21;0;10
PST3;22;0;10
PST3;23;0;10
PST3;24;0;10
PST3;25;0;10
PST3;26;0;10
PST3;27;0;10
PST3;28;0;10
PST3;29;0;10
PST3;30;0;10
PST4;31;0;10
PST4;32;0;10
PST4;33;0;10
PST4;34;0;10
PST4;35;0;10
PST4;36;0;10
PST4;37;0;10
PST4;38;0;10
PST4;39;0;10
PST4;40;0;10
PST1+C;41;0;10
PST1+C;42;0;10
PST1+C;43;0;10
PST1+C;44;0;10
PST1+C;45;0;10
PST1+C;46;0;10
PST1+C;47;0;10
PST1+C;48;0;10
PST1+C;49;0;10
PST1+C;50;0;10
PST2+C;51;0;10
PST2+C;52;0;10
PST2+C;53;0;10
PST2+C;54;0;10
PST2+C;55;0;10
PST2+C;56;0;10
PST2+C;57;0;10
PST2+C;58;0;10
PST2+C;59;0;10
PST2+C;60;0;10
PST3+C;61;0;10
PST3+C;62;0;10
PST3+C;63;0;10
PST3+C;64;0;10
PST3+C;65;0;10
PST3+C;66;0;10
PST3+C;67;0;10
PST3+C;68;0;10
PST3+C;69;0;10
PST3+C;70;0;10
PST4+C;71;0;10
PST4+C;72;0;10
PST4+C;73;0;10
PST4+C;74;0;10
PST4+C;75;0;10
PST4+C;76;0;10
PST4+C;77;0;10
PST4+C;78;0;10
PST4+C;79;0;10
PST4+C;80;0;10
C;81;0;10
C;82;0;10
C;83;0;10
C;84;0;10
C;85;0;10
C;86;0;10
C;87;0;10
C;88;0;10
C;89;0;10
C;90;0;10
ST;91;0;10
ST;92;0;10
ST;93;0;10
ST;94;0;10
ST;95;0;10
ST;96;0;10
ST;97;0;10
ST;98;0;10
ST;99;0;10
ST;100;0;10
PST1;1;2;10
PST1;2;2;10
PST1;3;2;10
PST1;4;2;10
PST1;5;2;10
PST1;6;2;10
PST1;7;2;10
PST1;8;2;10
PST1;9;2;10
PST1;10;2;10
PST2;11;2;10
PST2;12;2;10
PST2;13;2;10
PST2;14;2;10
PST2;15;2;10
PST2;16;2;10
PST2;17;2;10
PST2;18;2;10
PST2;19;2;10
PST2;20;2;10
PST3;21;2;10
PST3;22;2;10
PST3;23;2;10
PST3;24;2;10
PST3;25;2;10
PST3;26;2;10
PST3;27;2;10
PST3;28;2;10
PST3;29;2;10
PST3;30;2;10
PST4;31;2;10
PST4;32;2;10
PST4;33;2;10
PST4;34;2;10
PST4;35;2;10
PST4;36;2;10
PST4;37;2;10
PST4;38;2;10
PST4;39;2;10
PST4;40;2;10
PST1+C;41;2;10
PST1+C;42;2;10
PST1+C;43;2;10
PST1+C;44;2;10
PST1+C;45;2;10
PST1+C;46;2;10
PST1+C;47;2;10
PST1+C;48;2;10
PST1+C;49;2;10
PST1+C;50;2;10
PST2+C;51;2;10
PST2+C;52;2;10
PST2+C;53;2;10
PST2+C;54;2;10
PST2+C;55;2;10
PST2+C;56;2;10
PST2+C;57;2;10
PST2+C;58;2;10
PST2+C;59;2;10
PST2+C;60;2;10
PST3+C;61;2;10
PST3+C;62;2;10
PST3+C;63;2;10
PST3+C;64;2;10
PST3+C;65;2;10
PST3+C;66;2;10
PST3+C;67;2;10
PST3+C;68;2;10
PST3+C;69;2;10
PST3+C;70;2;10
PST4+C;71;2;10
PST4+C;72;2;10
PST4+C;73;2;10
PST4+C;74;2;10
PST4+C;75;2;10
PST4+C;76;2;10
PST4+C;77;2;10
PST4+C;78;2;10
PST4+C;79;2;10
PST4+C;80;2;10
C;81;2;10
C;82;2;10
C;83;2;10
C;84;2;10
C;85;2;10
C;86;2;10
C;87;2;10
C;88;2;10
C;89;2;10
C;90;2;10
ST;91;2;10
ST;92;2;10
ST;93;2;10
ST;94;2;10
ST;95;2;10
ST;96;2;10
ST;97;2;10
ST;98;2;10
ST;99;2;10
ST;100;2;10
PST1;1;4;10
PST1;2;4;10
