Condition;Replicas;Time;Mass;DoGlc;DoProt;DoTAG_PBST;DoTAG_RT
PST4;1;0;71.5;0.216;0.8802;0.2656;0.2922
PST4;2;0;75.2;0.2855;0.8119;0.2781;0.3809
PST4;3;0;66.4;0.2164;0.8233;0.3422;0.3605
PST4;4;0;65.9;0.1719;0.794;0.2833;0.5055
PST4;5;0;68;0.2103;0.8241;0.221;0.2757
PST4;6;0;65.4;0.1673;0.6906;0.3606;0.299
PST4;7;0;64.6;0.1695;0.7795;0.2782;0.2359
PST4;8;0;77;0.2161;0.7353;0.2033;0.3003
PST4+C;1;0;71.5;0.216;0.8802;0.2656;0.2922
PST4+C;2;0;75.2;0.2855;0.8119;0.2781;0.3809
PST4+C;3;0;66.4;0.2164;0.8233;0.3422;0.3605
PST4+C;4;0;65.9;0.1719;0.794;0.2833;0.5055
PST4+C;5;0;68;0.2103;0.8241;0.221;0.2757
PST4+C;6;0;65.4;0.1673;0.6906;0.3606;0.299
PST4+C;7;0;64.6;0.1695;0.7795;0.2782;0.2359
PST4+C;8;0;77;0.2161;0.7353;0.2033;0.3003
C;1;0;71.5;0.216;0.8802;0.2656;0.2922
C;2;0;75.2;0.2855;0.8119;0.2781;0.3809
C;3;0;66.4;0.2164;0.8233;0.3422;0.3605
C;4;0;65.9;0.1719;0.794;0.2833;0.5055
C;5;0;68;0.2103;0.8241;0.221;0.2757
C;6;0;65.4;0.1673;0.6906;0.3606;0.299
C;7;0;64.6;0.1695;0.7795;0.2782;0.2359
C;8;0;77;0.2161;0.7353;0.2033;0.3003
ST;1;0;71.5;0.216;0.8802;0.2656;0.2922
ST;2;0;75.2;0.2855;0.8119;0.2781;0.3809
ST;3;0;66.4;0.2164;0.8233;0.3422;0.3605
ST;4;0;65.9;0.1719;0.794;0.2833;0.5055
ST;5;0;68;0.2103;0.8241;0.221;0.2757
ST;6;0;65.4;0.1673;0.6906;0.3606;0.299
ST;7;0;64.6;0.1695;0.7795;0.2782;0.2359
ST;8;0;77;0.2161;0.7353;0.2033;0.3003
PST4;1;7;71.9;0.1884;0.753;0.2509;0.2704
PST4;2;7;64.6;0.1679;0.7278;0.3367;0.3297
PST4;3;7;66.6;0.2171;0.5205;0.2495;0.2757
PST4;4;7;63.3;0.1392;0.7485;0.2452;0.2611
PST4;5;7;75;0.1954;0.6902;0.276;0.2445
PST4;6;7;69;0.1819;0.719;0.2885;0.2627
PST4;7;7;64.6;0.1732;0.6816;0.2441;0.2707
