Condition;Replicas;Time;Mass;DoGlc;DoProt;DoTAG_PBST;DoTAG_RT
PST1;1;0;44.3;0.0995;0.7045;0.1179;0.2178
PST1;2;0;48.3;0.1039;0.6682;0.0961;0.263
PST1;3;0;33.7;0.0873;0.455;0.0674;0.0901
PST1;4;0;33.3;0.1004;0.5934;0.0662;0.0902
PST1;5;0;43.5;0.1111;0.7817;0.1608;0.3302
PST1;6;0;38.2;0.0943;0.7708;0.0792;0.1527
PST1;7;0;36.5;0.09;0.5911;0.0793;0.0836
PST1;8;0;35.8;0.0781;0.5739;0.0827;0.0989
PST2;1;0;44.3;0.0995;0.7045;0.1179;0.2178
PST2;2;0;48.3;0.1039;0.6682;0.0961;0.263
PST2;3;0;33.7;0.0873;0.455;0.0674;0.0901
PST2;4;0;33.3;0.1004;0.5934;0.0662;0.0902
PST2;5;0;43.5;0.1111;0.7817;0.1608;0.3302
PST2;6;0;38.2;0.0943;0.7708;0.0792;0.1527
PST2;7;0;36.5;0.09;0.5911;0.0793;0.0836
PST2;8;0;35.8;0.0781;0.5739;0.0827;0.0989
PST3;1;0;44.3;0.0995;0.7045;0.1179;0.2178
PST3;2;0;48.3;0.1039;0.6682;0.0961;0.263
PST3;3;0;33.7;0.0873;0.455;0.0674;0.0901
PST3;4;0;33.3;0.1004;0.5934;0.0662;0.0902
PST3;5;0;43.5;0.1111;0.7817;0.1608;0.3302
PST3;6;0;38.2;0.0943;0.7708;0.0792;0.1527
PST3;7;0;36.5;0.09;0.5911;0.0793;0.0836
PST3;8;0;35.8;0.0781;0.5739;0.0827;0.0989
PST4;1;0;44.3;0.0995;0.7045;0.1179;0.2178
PST4;2;0;48.3;0.1039;0.6682;0.0961;0.263
PST4;3;0;33.7;0.0873;0.455;0.0674;0.0901
PST4;4;0;33.3;0.1004;0.5934;0.0662;0.0902
PST4;5;0;43.5;0.1111;0.7817;0.1608;0.3302
PST4;6;0;38.2;0.0943;0.7708;0.0792;0.1527
PST4;7;0;36.5;0.09;0.5911;0.0793;0.0836
PST4;8;0;35.8;0.0781;0.5739;0.0827;0.0989
PST1+C;1;0;44.3;0.0995;0.7045;0.1179;0.2178
PST1+C;2;0;48.3;0.1039;0.6682;0.0961;0.263
PST1+C;3;0;33.7;0.0873;0.455;0.0674;0.0901
PST1+C;4;0;33.3;0.1004;0.5934;0.0662;0.0902
PST1+C;5;0;43.5;0.1111;0.7817;0.1608;0.3302
PST1+C;6;0;38.2;0.0943;0.7708;0.0792;0.1527
PST1+C;7;0;36.5;0.09;0.5911;0.0793;0.0836
PST1+C;8;0;35.8;0.0781;0.5739;0.0827;0.0989
PST2+C;1;0;44.3;0.0995;0.7045;0.1179;0.2178
PST2+C;2;0;48.3;0.1039;0.6682;0.0961;0.263
PST2+C;3;0;33.7;0.0873;0.455;0.0674;0.0901
PST2+C;4;0;33.3;0.1004;0.5934;0.0662;0.0902
PST2+C;5;0;43.5;0.1111;0.7817;0.1608;0.3302
PST2+C;6;0;38.2;0.0943;0.7708;0.0792;0.1527
PST2+C;7;0;36.5;0.09;0.5911;0.0793;0.0836
PST2+C;8;0;35.8;0.0781;0.5739;0.0827;0.0989
PST3+C;1;0;44.3;0.0995;0.7045;0.1179;0.2178
PST3+C;2;0;48.3;0.1039;0.6682;0.0961;0.263
PST3+C;3;0;33.7;0.0873;0.455;0.0674;0.0901
PST3+C;4;0;33.3;0.1004;0.5934;0.0662;0.0902
PST3+C;5;0;43.5;0.1111;0.7817;0.1608;0.3302
PST3+C;6;0;38.2;0.0943;0.7708;0.0792;0.1527
PST3+C;7;0;36.5;0.09;0.5911;0.0793;0.0836
PST3+C;8;0;35.8;0.0781;0.5739;0.0827;0.0989
PST4+C;1;0;44.3;0.0995;0.7045;0.1179;0.2178
PST4+C;2;0;48.3;0.1039;0.6682;0.0961;0.263
PST4+C;3;0;33.7;0.0873;0.455;0.0674;0.0901
PST4+C;4;0;33.3;0.1004;0.5934;0.0662;0.0902
PST4+C;5;0;43.5;0.1111;0.7817;0.1608;0.3302
PST4+C;6;0;38.2;0.0943;0.7708;0.0792;0.1527
PST4+C;7;0;36.5;0.09;0.5911;0.0793;0.0836
PST4+C;8;0;35.8;0.0781;0.5739;0.0827;0.0989
C;1;0;44.3;0.0995;0.7045;0.1179;0.2178
C;2;0;48.3;0.1039;0.6682;0.0961;0.263
C;3;0;33.7;0.0873;0.455;0.0674;0.0901
C;4;0;33.3;0.1004;0.5934;0.0662;0.0902
C;5;0;43.5;0.1111;0.7817;0.1608;0.3302
C;6;0;38.2;0.0943;0.7708;0.0792;0.1527
C;7;0;36.5;0.09;0.5911;0.0793;0.0836
C;8;0;35.8;0.0781;0.5739;0.0827;0.0989
ST;1;0;44.3;0.0995;0.7045;0.1179;0.2178
ST;2;0;48.3;0.1039;0.6682;0.0961;0.263
ST;3;0;33.7;0.0873;0.455;0.0674;0.0901
ST;4;0;33.3;0.1004;0.5934;0.0662;0.0902
ST;5;0;43.5;0.1111;0.7817;0.1608;0.3302
ST;6;0;38.2;0.0943;0.7708;0.0792;0.1527
ST;7;0;36.5;0.09;0.5911;0.0793;0.0836
ST;8;0;35.8;0.0781;0.5739;0.0827;0.0989
PST1;1;7;24.5;0.0944;0.4754;0.0564;0.0567
PST1;2;7;33;0.0971;0.5381;0.0666;0.1375
PST1;3;7;32.8;0.1057;0.5227;0.0851;0.0685
PST1;4;7;38.8;0.0976;0.7805;0.0977;0.1185
PST1;5;7;30.8;0.1196;0.4773;0.058;0.0528
PST1;6;7;29;0.086;0.5474;0.0707;0.0824
PST1;7;7;25.1;0.1146;0.4764;0.061;0.0507
PST1;8;7;19.5;0.0988;0.4472;0.0552;0.0599
PST2;1;7;32;0.0876;0.6197;0.1338;0.1589
PST2;2;7;31.8;0.1092;0.5467;0.0725;0.1187
PST2;3;7;24.2;0.1013;0.5061;0.0556;0.0577
PST2;4;7;32.3;0.1018;0.5414;0.071;0.1035
PST2;5;7;28.7;0.1093;0.6921;0.0948;0.0976
PST2;6;7;17.7;0.1003;0.3396;0.0577;0.059
PST2;7;7;39.9;0.0893;0.6591;0.0962;0.1254
PST2;8;7;39.1;0.0976;0.6809;0.0972;0.1688
PST3;1;7;47.2;0.0916;0.6302;0.0655;0.1327
PST3;2;7;53.3;0.1106;0.8193;0.0784;0.1572
PST3;3;7;35.6;0.1049;0.6272;1.3541;0.0843
PST3;4;7;38.3;0.0956;0.7828;0.1098;0.1517
PST3;5;7;32.1;0.103;0.6364;0.0581;0.089
PST3;6;7;32.2;0.0818;0.5223;0.0988;0.1587
PST3;7;7;48.8;0.1126;0.9004;0.0957;0.1967
PST3;8;7;40.5;0.0909;0.717;0.0761;0.0821
PST4;1;7;25.1;0.0922;0.5187;0.0533;0.0543
PST4;2;7;26.3;0.0975;0.5108;0.0586;0.0572
PST4;3;7;29.9;0.1013;0.6557;0.0638;0.0994
PST4;4;7;40.83;0.1001;0.7101;0.0751;0.1225
PST4;5;7;29.9;0.1355;0.5606;0.0713;0.1057
PST4;6;7;34.7;0.1195;0.5024;0.0636;0.0543
PST4;7;7;37.7;0.0819;0.6298;0.1274;0.1044
PST4;8;7;56.3;0.0905;0.7707;0.1306;0.403
PST1+C;1;7;25.7;0.1957;0.6102;0.083;0.4079
PST1+C;2;7;27.3;0.1956;0.5961;0.087;0.4857
PST1+C;3;7;29.4;0.1523;0.5805;0.0757;0.2512
PST1+C;4;7;36.1;0.3191;0.7157;0.0787;0.5031
PST1+C;5;7;26.4;0.1375;0.6198;0.0762;0.3342
PST1+C;6;7;44.9;0.9735;0.8048;0.0975;0.3054
PST1+C;7;7;20.1;0.1307;0.6622;0.0766;0.2681
PST1+C;8;7;37;0.1726;0.718;0.1309;0.2672
PST2+C;1;7;39.7;0.0962;0.8481;0.1917;0.7415
PST2+C;2;7;42.7;0.5023;0.8024;0.146;0.6702
PST2+C;3;7;36.6;0.2294;0.7088;0.1727;0.7852
PST2+C;4;7;40.3;0.4542;0.7006;0.1383;0.6964
PST2+C;5;7;47.2;0.0906;0.8393;0.4206;0.8862
PST2+C;6;7;39.8;0.3112;0.7948;0.2063;0.7961
PST2+C;7;7;42.1;0.1781;0.788;0.2194;0.8682
PST2+C;8;7;42.4;0.1016;0.8332;0.1267;0.6136
PST3+C;1;7;40.8;0.091;0.7878;0.2503;0.5458
PST3+C;2;7;46.6;0.0998;0.9377;0.2943;0.7553
PST3+C;3;7;39.3;0.216;0.6615;0.1403;0.3494
PST3+C;4;7;41.1;0.2197;0.7318;0.1287;0.437
PST3+C;5;7;44;0.5804;0.7683;0.1974;0.8659
PST3+C;6;7;41.3;0.1704;0.809;0.2057;0.5321
PST3+C;7;7;32.7;0.3103;0.6479;0.0982;0.5026
PST3+C;8;7;33.1;0.226;0.5937;0.0824;0.3784
PST4+C;1;7;39.7;0.3958;0.6585;0.1048;0.5757
PST4+C;2;7;38.8;0.4715;0.6207;0.1231;0.5842
PST4+C;3;7;43.5;0.3235;0.7919;0.1291;0.5943
PST4+C;4;7;28.5;0.3208;0.5604;0.0956;0.4753
PST4+C;5;7;43.8;0.1153;0.747;0.1924;0.8723
PST4+C;6;7;29.1;0.1269;0.6958;0.106;0.2701
PST4+C;7;7;36.9;0.1536;0.6177;0.2702;0.6034
PST4+C;8;7;30.5;0.2014;0.6402;0.0763;0.3233
C;1;7;38.2;0.1644;0.8622;0.1169;0.213
C;2;7;40.6;0.1017;0.9445;0.2784;0.6884
C;3;7;40.2;0.4311;0.7126;0.1382;0.6148
C;4;7;39.8;0.1286;0.7534;0.1283;0.6849
C;5;7;34.5;0.2412;0.7204;0.1072;0.4291
C;6;7;29.5;0.1728;0.6296;0.0992;0.7345
C;7;7;43;0.3912;0.7531;0.157;0.9125
C;8;7;48.2;0.1732;0.8983;0.2751;0.8385
ST;1;7;40.4;0.1025;0.6253;0.0596;0.0757
ST;2;7;31.5;0.0908;0.4703;0.0616;0.0803
ST;3;7;34.6;0.0863;0.8193;0.105;0.1355
ST;4;7;35.3;0.102;0.7748;0.1572;0.1804
ST;5;7;32.4;0.0896;0.5359;0.0725;0.0759
ST;6;7;30.7;0.0943;0.6218;0.1173;0.1325
ST;7;7;26.3;0.0956;0.522;0.0721;0.1233
ST;8;7;24.4;0.0828;0.5467;0.0827;0.1967
PST1;1;14;42.3;0.0872;0.5787;0.1011;0.129
PST1;2;14;25.5;0.0855;0.5007;0.0568;0.0548
PST1;3;14;28.9;0.0873;0.543;0.0848;0.1118
PST1;4;14;31.2;0.0852;0.6314;0.1097;0.1677
PST1;5;14;39.4;0.0925;0.6392;0.1259;0.1968
PST1;6;14;42.6;0.0993;0.6379;0.0807;0.2228
PST1;7;14;35.7;0.0961;0.5146;0.0632;0.0857
PST1;8;14;27.3;0.1005;0.4929;0.0642;0.0578
PST2;1;14;39.2;0.0861;0.6139;0.1362;0.1515
PST2;2;14;31.3;0.0865;0.5136;0.0801;0.1248
PST2;3;14;29.7;0.1074;0.4649;0.0621;0.0725
PST2;4;14;33.2;0.1109;0.4928;0.0668;0.0697
PST2;5;14;42.1;0.1025;0.5545;0.0601;0.0632
PST2;6;14;23.3;0.1065;0.4601;0.0658;0.0847
PST2;7;14;48.6;0.1203;0.5727;0.0638;0.0664
PST2;8;14;40.1;0.1104;0.5687;0.0737;0.1293
PST3;1;14;29.1;0.0883;0.5641;0.0566;0.0524
PST3;2;14;40.2;0.1024;0.5716;0.0691;0.0651
PST3;3;14;37;0.1124;0.5717;0.0614;0.0644
PST3;4;14;38.5;0.118;0.5703;0.0619;0.0533
PST3;5;14;28.1;0.1013;0.5287;0.0589;0.0674
PST3;6;14;26.2;0.113;0.4985;0.0609;0.0533
PST3;7;14;32.3;0.0823;0.6056;0.1638;0.1822
PST3;8;14;39.1;0.0914;0.4998;0.0773;0.0899
PST4;1;14;37.1;0.1093;0.5364;0.0603;0.065
PST4;2;14;32.5;0.1109;0.4636;0.058;0.0567
PST4;3;14;27.3;0.0984;0.4861;0.0557;0.0742
PST4;4;14;28.3;0.098;0.5302;0.0558;0.0593
PST4;5;14;38.8;0.1068;0.6028;0.0725;0.1163
PST4;6;14;22.7;0.1;0.4263;0.0595;0.0544
PST4;7;14;44.6;1.7839;0.6156;0.0643;0.0753
PST4;8;14;32.3;0.0947;0.4791;0.0603;0.0566
